CommitId;RefactoringType;RefactoringDetail
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private assertFormats(expectedValue String, pattern String, timeZone TimeZone, cal Calendar) : void extracted from public testSMTP() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private createJuneTestDate(timeZone TimeZone) : Calendar extracted from public testSMTP() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private assertFormats(expectedValue String, pattern String, timeZone TimeZone, cal Calendar) : void extracted from public testDateTimeISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private createFebruaryTestDate(timeZone TimeZone) : Calendar extracted from public testDateTimeISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private testGmtMinus3(expectedValue String, pattern String) : void extracted from public testDateTimeISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private assertFormats(expectedValue String, pattern String, timeZone TimeZone, cal Calendar) : void extracted from public testDateISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private createFebruaryTestDate(timeZone TimeZone) : Calendar extracted from public testDateISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private testGmtMinus3(expectedValue String, pattern String) : void extracted from public testDateISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private assertFormats(expectedValue String, pattern String, timeZone TimeZone, cal Calendar) : void extracted from public testTimeISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private createFebruaryTestDate(timeZone TimeZone) : Calendar extracted from public testTimeISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private testGmtMinus3(expectedValue String, pattern String) : void extracted from public testTimeISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private assertFormats(expectedValue String, pattern String, timeZone TimeZone, cal Calendar) : void extracted from public testTimeNoTISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private createFebruaryTestDate(timeZone TimeZone) : Calendar extracted from public testTimeNoTISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Extract Method;Extract Method	private testGmtMinus3(expectedValue String, pattern String) : void extracted from public testTimeNoTISO() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Change Variable Type;Change Variable Type	text : String to june : Calendar in method public testSMTP() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
775203dd2cfce017910d04c58a0b1b4e0a64923c;Rename Variable;Rename Variable	text : String to june : Calendar in method public testSMTP() : void in class org.apache.commons.lang3.time.DateFormatUtilsTest
07ec8ad2dd862c8669b2557b995ec5180663d73f;Rename Variable;Rename Variable	try_value_str : String to valueAsString : String in method protected appendDetail(buffer StringBuffer, fieldName String, value Object) : void in class org.apache.commons.lang3.builder.ToStringStyle.JsonToStringStyle
07ec8ad2dd862c8669b2557b995ec5180663d73f;Rename Variable;Rename Variable	after_now : Date to afterNow : Date in method public testDate() : void in class org.apache.commons.lang3.builder.JsonToStringStyleTest
e8db7237a9c347d2225fce9b49ff92bb741adffa;Extract Method;Extract Method	private isJsonArray(valueAsString String) : boolean extracted from protected appendDetail(buffer StringBuffer, fieldName String, value Object) : void in class org.apache.commons.lang3.builder.ToStringStyle.JsonToStringStyle
e8db7237a9c347d2225fce9b49ff92bb741adffa;Extract Method;Extract Method	private isJsonObject(valueAsString String) : boolean extracted from protected appendDetail(buffer StringBuffer, fieldName String, value Object) : void in class org.apache.commons.lang3.builder.ToStringStyle.JsonToStringStyle
0add1e8975336c65513b26123d48b221e2515ddc;Inline Variable;Inline Variable	zoneOffset : int in method public appendTo(buffer StringBuffer, calendar Calendar) : void from class org.apache.commons.lang3.time.FastDatePrinter.Iso8601_Rule
061450a927ba1cc65f7b984f4ff41866ec2eceac;Extract Variable;Extract Variable	threadGroups : Collection<ThreadGroup> in method public findThreadsByName(threadName String, threadGroupName String) : Collection<Thread> from class org.apache.commons.lang3.ThreadUtils
f175a241c811d2d0843026b2dde5c3ae308cfb95;Inline Method;Inline Method	private validateSecretFieldAbsent(toString String) : void inlined to public test_toStringExclude() : void in class org.apache.commons.lang3.builder.ReflectionToStringBuilderExcludeWithAnnotationTest
cae70c10b4451ee3b919764f72dc4a4caf0f6f27;Rename Attribute;Rename Attribute	SECRET_FIELD : String to EXCLUDED_FIELD_NAME : String in class org.apache.commons.lang3.builder.ReflectionToStringBuilderExcludeWithAnnotationTest
cae70c10b4451ee3b919764f72dc4a4caf0f6f27;Rename Attribute;Rename Attribute	SECRET_VALUE : String to EXCLUDED_FIELD_VALUE : String in class org.apache.commons.lang3.builder.ReflectionToStringBuilderExcludeWithAnnotationTest
cae70c10b4451ee3b919764f72dc4a4caf0f6f27;Rename Attribute;Rename Attribute	NOT_SECRET_FIELD : String to INCLUDED_FIELD_NAME : String in class org.apache.commons.lang3.builder.ReflectionToStringBuilderExcludeWithAnnotationTest
cae70c10b4451ee3b919764f72dc4a4caf0f6f27;Rename Attribute;Rename Attribute	NOT_SECRET_VALUE : String to INCLUDED_FIELD_VALUE : String in class org.apache.commons.lang3.builder.ReflectionToStringBuilderExcludeWithAnnotationTest
82152f41ac8a727c2f0042bd555452dc2dda11b1;Extract Variable;Extract Variable	value : String in method public joinWith(separator String, objects Object...) : String from class org.apache.commons.lang3.StringUtils
633ce604968078151e03363d5c67042af74310e3;Change Parameter Type;Change Parameter Type	word : String to word : CharSequence in method public containsAllWords(word CharSequence, words CharSequence...) : boolean in class org.apache.commons.lang3.text.WordUtils
633ce604968078151e03363d5c67042af74310e3;Change Parameter Type;Change Parameter Type	words : String... to words : CharSequence... in method public containsAllWords(word CharSequence, words CharSequence...) : boolean in class org.apache.commons.lang3.text.WordUtils
633ce604968078151e03363d5c67042af74310e3;Change Variable Type;Change Variable Type	w : String to w : CharSequence in method public containsAllWords(word CharSequence, words CharSequence...) : boolean in class org.apache.commons.lang3.text.WordUtils
