CommitId;RefactoringType;RefactoringDetail
6df752c773871dcd8c7936c76deffa687d4bd207;Inline Variable;Inline Variable	expected : List<SimpleImmutableEntry<String,Integer>> in method public sortValueAscending() : void from class org.apache.jorphan.gui.ObjectTableSorterTest
6df752c773871dcd8c7936c76deffa687d4bd207;Inline Variable;Inline Variable	expected : List<SimpleImmutableEntry<String,Integer>> in method public sortValueDescending() : void from class org.apache.jorphan.gui.ObjectTableSorterTest
6df752c773871dcd8c7936c76deffa687d4bd207;Inline Variable;Inline Variable	expected : List<SimpleImmutableEntry<String,Integer>> in method public fixLastRowWithAscendingKey() : void from class org.apache.jorphan.gui.ObjectTableSorterTest
6df752c773871dcd8c7936c76deffa687d4bd207;Inline Variable;Inline Variable	expected : List<SimpleImmutableEntry<String,Integer>> in method public fixLastRowWithDescendingKey() : void from class org.apache.jorphan.gui.ObjectTableSorterTest
6df752c773871dcd8c7936c76deffa687d4bd207;Inline Variable;Inline Variable	expected : List<SimpleImmutableEntry<String,Integer>> in method public fixLastRowWithAscendingValue() : void from class org.apache.jorphan.gui.ObjectTableSorterTest
6df752c773871dcd8c7936c76deffa687d4bd207;Inline Variable;Inline Variable	expected : List<SimpleImmutableEntry<String,Integer>> in method public fixLastRowWithDescendingValue() : void from class org.apache.jorphan.gui.ObjectTableSorterTest
6df752c773871dcd8c7936c76deffa687d4bd207;Inline Variable;Inline Variable	expected : List<SimpleImmutableEntry<String,Integer>> in method public customKeyOrder() : void from class org.apache.jorphan.gui.ObjectTableSorterTest
6df752c773871dcd8c7936c76deffa687d4bd207;Rename Method;Rename Method	public testConstructStringInt() : void renamed to public testConstructInt() : void in class org.apache.jorphan.reflect.TestClassTools
91431299da490891a338f4f40326c8645f570c39;Rename Parameter;Rename Parameter	startOrEnd : boolean to isStartOfTest : boolean in method private addAnnotation(isStartOfTest boolean) : void in class org.apache.jmeter.visualizers.backend.influxdb.InfluxdbBackendListenerClient
91431299da490891a338f4f40326c8645f570c39;Extract Method;Extract Method	private initInfluxdbMetricsManager(context BackendListenerContext) : void extracted from public setupTest(context BackendListenerContext) : void in class org.apache.jmeter.visualizers.backend.influxdb.InfluxdbBackendListenerClient
91431299da490891a338f4f40326c8645f570c39;Inline Variable;Inline Variable	influxdbMetricsSender : String in method public setupTest(context BackendListenerContext) : void from class org.apache.jmeter.visualizers.backend.influxdb.InfluxdbBackendListenerClient
91431299da490891a338f4f40326c8645f570c39;Extract Method;Extract Method	private initUserTags(context BackendListenerContext) : void extracted from public setupTest(context BackendListenerContext) : void in class org.apache.jmeter.visualizers.backend.influxdb.InfluxdbBackendListenerClient
91431299da490891a338f4f40326c8645f570c39;Extract Method;Extract Method	private initPercentiles(context BackendListenerContext) : void extracted from public setupTest(context BackendListenerContext) : void in class org.apache.jmeter.visualizers.backend.influxdb.InfluxdbBackendListenerClient
91431299da490891a338f4f40326c8645f570c39;Extract Variable;Extract Variable	trimmedPercentile : String in method private initPercentiles(context BackendListenerContext) : void from class org.apache.jmeter.visualizers.backend.influxdb.InfluxdbBackendListenerClient
91431299da490891a338f4f40326c8645f570c39;Extract Variable;Extract Variable	key : String in method private initPercentiles(context BackendListenerContext) : void from class org.apache.jmeter.visualizers.backend.influxdb.InfluxdbBackendListenerClient
91431299da490891a338f4f40326c8645f570c39;Rename Attribute;Rename Attribute	application : String to applicationName : String in class org.apache.jmeter.visualizers.backend.influxdb.InfluxdbBackendListenerClient
bd1eb9b217e1d54107433d9a936d4f920ff7395b;Extract Method;Extract Method	private writeAndSendMetrics(copyMetrics List<MetricTuple>) : void extracted from public writeAndSendMetrics() : void in class org.apache.jmeter.visualizers.backend.influxdb.HttpMetricsSender
24e95b4c2013fe60dee3aab89528a4c687c393b0;Extract Variable;Extract Variable	graphValueSelector : GraphValueSelector in method protected createGroupInfos() : Map<String,GroupInfo> from class org.apache.jmeter.report.processor.graph.impl.ActiveThreadsGraphConsumer
